MOLECULE,Source,SMILES,meanComplexity,stdevComplexity,Votes
605,ChEMBL,CN(C)CCCN1c2ccccc2CCc2ccccc12,1.938461538,0.990367812,65
1279,ChEMBL,CC(C)NC[C@@H](O)COc1ccc(CC(=O)N)cc1,1.65,0.792148976,40
1785,ChEMBL,C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(c1)C(=O)N,2.055555556,0.664347819,36
2095,ChEMBL,Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,1.432432432,0.547255587,37
2132,ChEMBL,CCC[C@@H](C)C1(CC=C)C(=O)NC(=S)NC1=O,2.305555556,0.699977954,36
2261,ChEMBL,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,2.43902439,0.766645544,41
2353,ZINC_NaturalProducts,O1c2cc3CC[n+]4c(c3cc2OC1)cc1c(c4)c(OC)c(OC)cc1,2.75,0.915150261,40
2543,ZINC_NaturalProducts,O1C(c2c(c3c1cc(CCCCC)cc3O)cc(cc2)C)(C)C,2.111111111,0.874889764,36
2832,ZINC_NaturalProducts,O(c1c2c(CC[C@@H](NC)c3c2ccc(OC)c(=O)c3)cc(OC)c1OC)C,2.864864865,1.043957185,37
4056,ZINC_NaturalProducts,O=C1C(C\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\C)C)C)C)C)=C(C(=O)c2c1cccc2)C,2.263157895,0.84865871,38
4475,ZINC_NaturalProducts,Brc1cc(C(OC[C@@H]2C[C@@]3(OC)[C@@H]([N@@](C2)C)Cc2c4c3cccc4n(c2)C)=O)cnc1,3.615384615,0.737820234,39
6020,ZINC_NaturalProducts,O1[C@@H](n2c3ncnc(N(C)C)c3nc2)[C@H](O)[C@@H](N)[C@H]1CO,3.305555556,0.876211683,36
6072,ZINC_NaturalProducts,O1[C@@H]([C@@H](O)[C@H](O)[C@H](O)[C@@H]1Oc1c(C(=O)CCc2ccc(O)cc2)c(O)cc(O)c1)CO,3.19047619,1.051939144,42
6084,ZINC_NaturalProducts,O(c1cc2c(nccc2cc1OC)Cc1cc(OC)c(OC)cc1)C,1.810810811,0.691173614,37
6787,ChEMBL,CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],1.928571429,0.856150219,42
7714,ChEMBL,Cc1c(CCN2CCC(CC2)c2noc3cc(C)ccc23)c(=O)n2CCCCc2n1,2.222222222,0.785674201,36
7736,ChEMBL,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1.805555556,0.775293652,36
8969,ZINC_NaturalProducts,O[C@@H]1[C@@H]([C@@H]2[C@H](C[N@@]3[C@@H](C2)c2[nH]c4c(c2CC3)cccc4)CC1)C(OC)=O,3.87804878,0.771287234,41
10237,ZINC_NaturalProducts,O1[C@@H]([C@H]2[N@@](CCc3c2cc2OCOc2c3)C)c2c(C1=O)c1OCOc1cc2,3.432432432,0.71812596,37
11442,ZINC_NaturalProducts,O(C(=O)[C@@H]1C([C@@H]1\C=C(\C)C)(C)C)[C@@H]1CC(=O)C(=C1C)CC=C,2.794871795,0.757170413,39
11968,ChEMBL,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc1ccccn1,2.574468085,0.792106828,47
13590,ChEMBL,COC12[C@H](C3=C(N2C[C@H]2[C@H]1N2)C(C(=C(C3=O)N)C)=O)COC(N)=O,4.333333333,0.666666667,36
15063,ZINC_NaturalProducts,O1[C@@]2(O)[C@@H]3[C@@]4([C@@H]([C@@H]([C@H]2O)C)[C@@H](OC(=O)[C@@](O)(CC)C)C(O[C@@H]4C[C@@H]2[C@@]3([C@H](O)[C@@H](O)C=C2C)C)=O)C1,4.404761905,0.846829488,42
15376,ZINC_NaturalProducts,O[C@]1(n2c3[C@H]4[N@@](CCC[C@@]4(C1)CC)CCc3c1c2cccc1)C(OC)=O,4.391304348,0.706438122,46
16078,ZINC_NaturalProducts,O1C([C@H]2[C@H](c3c1cc(cc3O)CCCCC)C=C(CC2)C)(C)C,3.102564103,0.810029179,39
16716,ChEMBL,COc1cccc(c1C(N[C@@H]1C(N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O)=O)=O)OC,3.651162791,0.80358849,43
17347,ChEMBL,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)S(c1ccc(cc1)N)(=O)=O,3.277777778,0.767793053,36
21523,ChEMBL,COc1cc(ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12)C(=O)NS(=O)(=O)c1ccccc1C,2.886363636,0.775063314,44
26346,ZINC_NaturalProducts,Oc1c([C@@H]2[C@@H](CCC(=C2)C)C(C)=C)c(O)cc(c1)CCCCC,2.487804878,0.800059486,41
27278,ChEMBL,COc1ccc(cc1)[C@@H](CN(C)C)C1(O)CCCCC1,1.895833333,0.585931713,48
27309,ChEMBL,C[N@@]1CCC[C@@H](CC1)n1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,2.333333333,0.730296743,45
27439,ZINC_NaturalProducts,O1[C@@]23[C@@]4(O)[C@@]5([C@@]1(O)C[C@@]([C@]4(O)[C@@H](OC(=O)c1[nH]ccc1)[C@]5(O)C(C)C)([C@@]2(O)CC[C@@H]([C@H]3O)C)C)C,4.818181818,0.683331654,44
28397,ZINC_NaturalProducts,O[C@@H](C(C[C@@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC,1.975609756,0.811136056,41
28693,ZINC_NaturalProducts,O(C(=O)NC[C@@H]1C[C@H]2[C@H]([N@@](C1)C)Cc1c3c2cccc3n(c1)C)Cc1ccccc1,3.791666667,0.789470638,48
30971,ZINC_NaturalProducts,O1[C@H]2[C@H](O[C@H]3O[C@@H](CC(=O)[C@]13O)C)[C@@H](O)[C@H](NC)[C@@H](O)[C@@H]2NC,4.279069767,0.787270273,43
31378,ZINC_NaturalProducts,F[C@]12[C@H]([C@H]3[C@@]([C@](O)(CC3)C(=O)CO)(C[C@@H]2O)C)CCC=2[C@@]1(CCC(=O)C2)C,4,0.784464541,39
33042,ZINC_NaturalProducts,O([C@H]1[C@H](O[C@H]2O[C@@H]([C@H](O)[C@H]2O)CO)[C@@H](O)[C@H](N)C[C@@H]1N)[C@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1N)CN,4.368421053,0.984646681,38
