Name,Target_values,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1,1.854766065,12,110.9270401,70.8240401,Csub-H,89.87553406,49.77253406,1,0,0,0,1
2,2.034511341,11.7,110.6553116,70.25231158,Csub-Csub,78.65235138,55.53135138,1,0,0,0,1
3,0.860667495,-23.05,112.0635071,36.91050708,H-O,88.85021973,13.69721973,0,0,1,1,1
4,1.026447198,-16.24,112.101181,43.75818103,Csub-O,69.10329437,18.04229437,0,1,0,1,1
5,0.952469022,-31.94,111.8824539,27.83945392,H-O,88.58656311,4.54356311,1,0,1,1,2
6,0.308776518,-68.04,113.0647278,-7.078272217,H-O,89.46292114,-30.68007886,0,0,2,2,2
7,0.982261986,-34.71,110.7689209,23.9559209,Csub-Csub,79.076828,9.545828003,1,0,1,1,2
8,1.129601283,-34.94,111.5555725,24.51257251,Csub-Csub,78.75331879,8.992318787,1,0,1,1,2
9,1.047746118,-34.48,110.5679703,23.98497028,Csub-Csub,78.03665161,8.735651611,1,0,1,1,2
10,0.515551116,-62.34,110.4608917,-3.982108276,Csub-O,58.43679047,-38.72420953,0,1,1,2,2
11,0.515551116,-62.34,113.9221497,-0.520850342,Csub-O,69.55827332,-27.60272668,0,1,1,2,2
12,0.44305174,-62.34,112.8844147,-1.558585327,Csub-O,62.99021912,-34.17078088,0,1,1,2,2
13,2.221390241,0.29,110.5127563,58.69975635,Csub-Csub,77.87947083,43.34847083,2,0,0,0,2
14,2.138192104,-0.78,110.3923798,57.50937976,Csub-Csub,78.41550446,42.81450446,2,0,0,0,2
15,1.883806797,4.54,110.719635,63.15663501,Csub-H,89.83821106,42.27521106,2,0,0,0,2
16,2.091025544,4.12,111.3189087,63.33590869,Csub-H,89.78244019,41.79944019,2,0,0,0,2
17,1.902644865,4.29,110.7536316,62.94063159,Csub-H,89.6808548,41.8678548,2,0,0,0,2
18,2.312908191,-0.46,110.959137,58.39613696,Csub-Csub,78.64178467,43.36078467,2,0,0,0,2
19,1.16234335,-30.93,110.8476944,27.8146944,Csub-Csub,76.10786438,10.35686438,1,0,0,0,1
20,1.989080521,-32.41,111.2339783,26.72097827,Csub-H,82.79759216,5.392952454,2,0,0,0,2
21,2.801329141,-5.9,110.3707199,52.36771991,Csub-Csub,78.09907532,37.37807532,2,0,0,0,2
22,2.391560251,-5.9,110.9408264,52.93782642,Csub-Csub,78.66916656,37.94816656,2,0,0,0,2
23,2.011592734,-5.9,110.4220352,52.41903522,Csub-Csub,78.39561462,37.67461462,2,0,0,0,2
24,0.998633019,-27.6,110.4682465,30.76524646,Csub-O,66.3848114,3.963811401,1,1,0,1,2
25,1.031375085,-27.6,113.392807,33.68980701,Csub-O,69.00031281,6.579312805,1,1,0,1,2
26,1.006818535,-27.6,112.2061539,32.50315387,Csub-O,67.16915131,4.748151306,1,1,0,1,2
27,1.694401925,-29.7,110.9802704,29.17727039,Csub-Csub,77.10182953,51.03182953,1,0,0,0,1
28,0.515838419,-65.68,111.9355087,-5.847491272,H-O,78.45265198,-39.33034802,0,0,2,2,2
29,0.916777853,-24.3,111.7115936,35.30859363,Csub-O,70.3069458,17.6069458,0,1,0,1,1
30,0.837770564,-71.32,111.7983551,-11.6246449,H-O,76.89291382,-46.53008618,1,0,2,2,3
31,0.942297022,-30.67,111.0540771,28.28107715,H-O,86.16723633,3.394236328,1,0,1,1,2
32,0.965415203,-29.94,110.8601837,28.81718372,H-O,86.97593689,4.93293689,1,0,1,1,2
33,0.39762592,-101.6,111.0383148,-42.66468518,Csub-O,55.76971817,-71.26043939,0,2,1,3,3
34,1.178714383,-101.6,111.0308151,-42.67218488,H-O,84.12934875,-69.57365125,2,0,1,1,3
35,0.410599034,-101.6,111.6276932,-42.07530682,Csub-O,59.93067169,-76.49032831,0,2,1,3,3
36,0.321084552,-101.6,110.7593079,-42.94369214,Csub-O,59.81459808,-76.60640192,0,2,1,3,3
37,0.329517076,-101.6,115.2292938,-38.47370618,Csub-O,70.45233154,-65.96866846,0,2,1,3,3
